Module_name,oid_name,oid,datatype,start,end,description
Voip_Destination,status,1.3.6.1.2.1.2.2.18.0,STRING,0,1000,Some Description
Voip_Destination,flags,1.3.6.1.2.1.2.2.18.1,STRING,0,1000,Some Description
Voip_Destination,Type,1.3.6.1.2.1.2.2.18.2,STRING,0,1000,Some Description
Voip_Destination,Registration_Expires,1.3.6.1.2.1.2.2.18.25,STRING,0,1000,Some Description
Voip_Destination,Diversion_Type,1.3.6.1.2.1.2.2.18.26,STRING,0,1000,Some Description
Voip_Destination,UpdateH323Caps,1.3.6.1.2.1.2.2.18.27,STRING,0,1000,Some Description
Voip_Destination,adjaddr,1.3.6.1.2.1.2.2.18.28,INTEGER,0,1000,Some Description
Voip_Destination,adjport,1.3.6.1.2.1.2.2.18.29,INTEGER,0,1000,Some Description
Voip_Destination,RAS_IP,1.3.6.1.2.1.2.2.18.30,INTEGER,0,1000,Some Description
Voip_Destination,Allow,1.3.6.1.2.1.2.2.18.49,STRING,0,1000,Some Description
Voip_Destination,TLS_Credentials,1.3.6.1.2.1.2.2.18.50,INTEGER,0,1000,Some Description
Voip_Destination,DNS-Register,1.3.6.1.2.1.2.2.18.51,INTEGER,0,1000,Some Description
Voip_Destination,RTP_options,1.3.6.1.2.1.2.2.18.52,STRING,0,1000,Some Description
Voip_Destination,Tinviteping,1.3.6.1.2.1.2.2.18.53,INTEGER,0,1000,Some Description
Media_Timeslot,status,1.3.6.1.2.1.2.2.7.0,STRING,0,3000,Some Description
Media_Timeslot,flags,1.3.6.1.2.1.2.2.7.1,STRING,0,3000,Some Description
Media_Timeslot,Type,1.3.6.1.2.1.2.2.7.2,STRING,0,3000,Some Description
Media_Timeslot,interface,1.3.6.1.2.1.2.2.7.3,INTEGER,0,3000,Some Description
Media_Timeslot,name,1.3.6.1.2.1.2.2.7.4,INTEGER,0,3000,Some Description
Media_Timeslot,Concurrent_Failures,1.3.6.1.2.1.2.2.7.5,INTEGER,0,3000,Some Description
Media_Timeslot,Inservice,1.3.6.1.2.1.2.2.7.6,STRING,0,3000,Some Description
Media_Timeslot,Outservice,1.3.6.1.2.1.2.2.7.7,INTEGER,0,3000,Some Description
Media_Timeslot,Description,1.3.6.1.2.1.2.2.7.8,STRING,0,3000,Some Description
Media_Timeslot,Options,1.3.6.1.2.1.2.2.7.9,STRING,0,3000,Some Description
Media_Timeslot,SW-State,1.3.6.1.2.1.2.2.7.10,STRING,0,3000,Some Description
Media_Timeslot,MT-Next,1.3.6.1.2.1.2.2.7.11,STRING,0,3000,Some Description
Media_Timeslot,MT-Prev,1.3.6.1.2.1.2.2.7.12,INTEGER,0,3000,Some Description
Signalling_Link,status,1.3.6.1.2.1.2.2.1.0,STRING,0,1,Some Description
Signalling_Link,flags,1.3.6.1.2.1.2.2.1.1,STRING,0,1,Some Description
Signalling_Link,Type,1.3.6.1.2.1.2.2.1.2,STRING,0,1,Some Description
Signalling_Link,Set-LPR,1.3.6.1.2.1.2.2.1.21,STRING,0,1,Some Description
Signalling_Link,inhibit,1.3.6.1.2.1.2.2.1.22,STRING,0,1,Some Description
Signalling_Link,uninhibit,1.3.6.1.2.1.2.2.1.23,STRING,0,1,Some Description
Signalling_Link,Debug,1.3.6.1.2.1.2.2.1.24,STRING,0,1,Some Description
Signalling_Link,Protocol,1.3.6.1.2.1.2.2.1.25,STRING,0,1,Some Description
Signalling_Link,SLTM,1.3.6.1.2.1.2.2.1.26,STRING,0,1,Some Description
Signalling_Link,variant,1.3.6.1.2.1.2.2.1.27,STRING,0,1,Some Description
Signalling_Link,LI-Priority-Bit,1.3.6.1.2.1.2.2.1.28,STRING,0,1,Some Description
Signalling_Link,Transmission-Rate,1.3.6.1.2.1.2.2.1.29,STRING,0,1,Some Description
Signalling_Link,Max-Throughput,1.3.6.1.2.1.2.2.1.30,STRING,0,1,Some Description
Signalling_Link,Queue-Size,1.3.6.1.2.1.2.2.1.31,STRING,0,1,Some Description
Signalling_Link,Tx-MSU-Total,1.3.6.1.2.1.2.2.1.32,STRING,0,1,Some Description
Signalling_Link,Tx-MSU-Sec,1.3.6.1.2.1.2.2.1.33,STRING,0,1,Some Description
Signalling_Link,Tx-MSU-Sec-max,1.3.6.1.2.1.2.2.1.34,STRING,0,1,Some Description
Media_Gateway,TMAX,1.3.6.1.2.1.2.2.16.5,INTEGER,0,100,Some Description
Media_Gateway,Max1,1.3.6.1.2.1.2.2.16.6,INTEGER,0,100,Some Description
Media_Gateway,Max2,1.3.6.1.2.1.2.2.16.7,INTEGER,0,100,Some Description
Media_Gateway,TPING,1.3.6.1.2.1.2.2.16.8,INTEGER,0,100,Some Description
Media_Gateway,LONGTRAN,1.3.6.1.2.1.2.2.16.9,INTEGER,0,100,Some Description
Media_Gateway,RTO,1.3.6.1.2.1.2.2.16.10,INTEGER,0,100,Some Description
Media_Gateway,ResolveDNS,1.3.6.1.2.1.2.2.16.11,STRING,0,100,Some Description
Destination_Point,secondary,1.3.6.1.2.1.2.2.3.7,INTEGER,0,256,Some Description
Destination_Point,loadshare,1.3.6.1.2.1.2.2.3.8,STRING,0,256,Some Description
Destination_Point,Transfer-Report,1.3.6.1.2.1.2.2.3.9,STRING,0,256,Some Description
Destination_Point,Add-Transfer-Report,1.3.6.1.2.1.2.2.3.10,STRING,0,256,Some Description
Destination_Point,Inservice,1.3.6.1.2.1.2.2.3.11,STRING,0,256,Some Description
Destination_Point,Outservice,1.3.6.1.2.1.2.2.3.12,INTEGER,0,256,Some Description
Destination_Point,sls,1.3.6.1.2.1.2.2.3.13,INTEGER,0,256,Some Description
Destination_Point,clink,1.3.6.1.2.1.2.2.3.14,INTEGER,0,256,Some Description
Destination_Point,Description,1.3.6.1.2.1.2.2.3.15,STRING,0,256,Some Description
Destination_Point,Max-msg/s,1.3.6.1.2.1.2.2.3.16,INTEGER,0,256,Some Description
Destination_Point,Msg/s,1.3.6.1.2.1.2.2.3.17,INTEGER,0,256,Some Description
Destination_Point,RQue,1.3.6.1.2.1.2.2.3.18,INTEGER,0,256,Some Description
Destination_Point,Options,1.3.6.1.2.1.2.2.3.19,STRING,0,256,Some Description
Destination_Point,ASP,1.3.6.1.2.1.2.2.3.20,INTEGER,0,256,Some Description
Destination_Point,AS,1.3.6.1.2.1.2.2.3.21,INTEGER,0,256,Some Description
Destination_Point,OG-L3Label,1.3.6.1.2.1.2.2.3.22,INTEGER,0,256,Some Description
SCTP,status,1.3.6.1.2.1.2.2.24.0,STRING,0,32,Some Description
SCTP,Type,1.3.6.1.2.1.2.2.24.1,STRING,0,32,Some Description
SCTP,flags,1.3.6.1.2.1.2.2.24.2,STRING,0,32,Some Description
SCTP,ASP,1.3.6.1.2.1.2.2.24.3,INTEGER,0,32,Some Description
SCTP,local-port,1.3.6.1.2.1.2.2.24.4,INTEGER,0,32,Some Description
SCTP,local-address,1.3.6.1.2.1.2.2.24.5,STRING,0,32,Some Description
SCTP,No-Delay,1.3.6.1.2.1.2.2.24.40,STRING,0,32,Some Description
SCTP,Options,1.3.6.1.2.1.2.2.24.41,STRING,0,32,Some Description
SCTP,Location,1.3.6.1.2.1.2.2.24.42,STRING,0,32,Some Description
