MIB-MODULE,MIB File,OID,Name,Recommended Action,Comments,Description,Trigger Description,Dependency,cleartime In Days
MMSERVICE-V2-MIB,MMSERVICE-V2-MIB,.1.3.6.1.4.1.11150.103.10.0.1,mmServiceTrapVlrProfileUpdateFailures,Critical,,Indicates that the percentage of vlr profile update failures is too high.,Indicates that the percentage of vlr profile update failures is too high.,NONE,3d
MMSERVICE-V2-MIB,MMSERVICE-V2-MIB,.1.3.6.1.4.1.11150.103.10.0.2,mmServiceTrapVlrProfileUpdatesAbnormal,Critical,,Indicates that the number of vlr profile update attempts too high/low compared to previous interval.,Indicates that the number of vlr profile update attempts too high/low compared to previous interval.,NONE,3d
MMSERVICE-V2-MIB,MMSERVICE-V2-MIB,.1.3.6.1.4.1.11150.103.10.0.3,mmServiceTrapVlrULsMonitoredAbnormal,Average,,Indicates that the number of vlr update locations is too high/low compared to previous interval.,Indicates that the number of vlr update locations is too high/low compared to previous interval.,NONE,3d
MMSERVICE-V2-MIB,MMSERVICE-V2-MIB,.1.3.6.1.4.1.11150.103.10.0.5,mmServiceTrapSgsnProfileUpdateFailures,Major,,Indicates that the percentage of sgsn profile update failures is too high.,Indicates that the percentage of sgsn profile update failures is too high.,NONE,3d
MMSERVICE-V2-MIB,MMSERVICE-V2-MIB,.1.3.6.1.4.1.11150.103.10.0.6,mmServiceTrapSgsnProfileUpdatesAbnormal,Major,,Indicates that the number of sgsn profile update attempts is too high/low compared to previous interval.,Indicates that the number of sgsn profile update attempts is too high/low compared to previous interval.,NONE,3d
MMSERVICE-V2-MIB,MMSERVICE-V2-MIB,.1.3.6.1.4.1.11150.103.10.0.7,mmServiceSgsnULsMonitoredAbnormal,Major,,Indicates that the number of sgsn update locations is too high/low compared to previous interval.,Indicates that the number of sgsn update locations is too high/low compared to previous interval.,NONE,3d
MMSERVICE-V2-MIB,MMSERVICE-V2-MIB,.1.3.6.1.4.1.11150.103.10.0.8,mmServiceVLREmlppFailedAbnormal,Major,,Indicates that the number of EMLPP failures too high/low compared to previous interval.,Indicates that the number of EMLPP failures too high/low compared to previous interval.,NONE,3d
MMSERVICE-V2-MIB,MMSERVICE-V2-MIB,.1.3.6.1.4.1.11150.103.10.0.9,mmServiceTrapInternalIDRRequestFailed,Major,,Indicates that the percentage of IDRs failed due to Internal request is too high/low compared to previous interval.,Indicates that the percentage of IDRs failed due to Internal request is too high/low compared to previous interval.,NONE,3d
MMSERVICE-V2-MIB,MMSERVICE-V2-MIB,.1.3.6.1.4.1.11150.103.10.0.10,mmServiceTrapInternalDSRRequestFailed,Major,,Indicates that the percentage of DSRs failed due to Internal request is too high/low compared to previous interval.,Indicates that the percentage of DSRs failed due to Internal request is too high/low compared to previous interval.,NONE,3d
MMSERVICE-V2-MIB,MMSERVICE-V2-MIB,.1.3.6.1.4.1.11150.103.10.0.11,mmServiceTrapInternalCLRRequestFailed,Major,,Indicates that the percentage of CLRs failed due to Internal request is too high/low compared to previous interval.,Indicates that the percentage of CLRs failed due to Internal request is too high/low compared to previous interval.,NONE,3d
Roamware-RDB-V2-MIB,ROAMWARE-RDB-V2-MIB,.1.3.6.1.4.1.11150.6.5.0.1,rdbSysUp,Clear,,Indicates that the DBWriter system is up and active.,Indicates that the DBWriter system is up and active.,NONE,3d
Roamware-RDB-V2-MIB,ROAMWARE-RDB-V2-MIB,.1.3.6.1.4.1.11150.6.5.0.2,rdbSysDown,Critical,,Indicates that the DBWriter system is shutting down.,Indicates that the DBWriter system is shutting down.,.1.3.6.1.4.1.11150.6.5.0.1,3d
Roamware-RDB-V2-MIB,ROAMWARE-RDB-V2-MIB,.1.3.6.1.4.1.11150.6.5.0.3,rdbDBConnection,Major,,Indicates abnormal condition of database connections.,Indicates abnormal condition of database connections.,NONE,3d
Roamware-RDB-V2-MIB,ROAMWARE-RDB-V2-MIB,.1.3.6.1.4.1.11150.6.5.0.5,rdbStatusChange,Information,,Indicates the state of the system going from passive to active.,Indicates the state of the system going from passive to active.,NONE,3d
Roamware-RDB-V2-MIB,ROAMWARE-RDB-V2-MIB,.1.3.6.1.4.1.11150.6.5.0.6,rdbProbeConn,Minor,,Indicates that the connection with the SS7Probe is lost/gained/paused/resumed.,Indicates that the connection with the SS7Probe is lost/gained/paused/resumed.,NONE,3d
Roamware-RDB-V2-MIB,ROAMWARE-RDB-V2-MIB,.1.3.6.1.4.1.11150.6.5.0.7,rdbIMDBConn,Minor,,Indicates that the connection with the roamer cache server is lost/gained.,Indicates that the connection with the roamer cache server is lost/gained.,NONE,3d
Roamware-RDB-V2-MIB,ROAMWARE-RDB-V2-MIB,.1.3.6.1.4.1.11150.6.5.0.8,rdbTDRConn,Minor,,Indicates that the connection with the TDR interface is lost/gained.,Indicates that the connection with the TDR interface is lost/gained.,NONE,3d
Roamware-RDB-V2-MIB,ROAMWARE-RDB-V2-MIB,.1.3.6.1.4.1.11150.6.5.0.9,rdbNoMesgFromProbe,Minor,,Indicates that no messages are received from Probe for a configurable period.,Indicates that no messages are received from Probe for a configurable period.,NONE,3d
Roamware-RDB-V2-MIB,ROAMWARE-RDB-V2-MIB,.1.3.6.1.4.1.11150.6.5.0.10,rdbProbeMsgPoolStatus,Minor,,Indicates the status of probe message pool.,Indicates the status of probe message pool.,NONE,3d
Roamware-RDB-V2-MIB,ROAMWARE-RDB-V2-MIB,.1.3.6.1.4.1.11150.6.5.0.11,rdbEventQueue,Minor,,Indicates the status of event queue.,Indicates the status of event queue.,NONE,3d
Roamware-RDB-V2-MIB,ROAMWARE-RDB-V2-MIB,.1.3.6.1.4.1.11150.6.5.0.12,rdbEODFailure,Major,,Indicates that the EOD process has failed.,Indicates that the EOD process has failed.,NONE,3d
Roamware-RDB-V2-MIB,ROAMWARE-RDB-V2-MIB,.1.3.6.1.4.1.11150.6.5.0.13,rdbHeartbeat,Information,,Sent periodically to indicate that DBWriter is alive.,Sent periodically to indicate that DBWriter is alive.,NONE,3d
Roamware-RDB-V2-MIB,ROAMWARE-RDB-V2-MIB,.1.3.6.1.4.1.11150.6.5.0.14,rdbAllocatorDeplete,Information,,Indicates that an MSU allocator buffer is depleting.,Indicates that an MSU allocator buffer is depleting.,NONE,3d
Roamware-RDB-V2-MIB,ROAMWARE-RDB-V2-MIB,.1.3.6.1.4.1.11150.6.5.0.15,rdbMsgPoolStatus,Information,,Indicates the status of message mtp2 pool.,Indicates the status of message mtp2 pool.,NONE,3d
Roamware-RDB-V2-MIB,ROAMWARE-RDB-V2-MIB,.1.3.6.1.4.1.11150.6.5.0.16,callgwClientConnStatus,Information,,Indicates Roamware ISUPGateway Client connection status.,Indicates Roamware ISUPGateway Client connection status.,NONE,3d
Roamware-RDB-V2-MIB,ROAMWARE-RDB-V2-MIB,.1.3.6.1.4.1.11150.6.5.0.17,msuProcessingCapacity,Information,,Indicates status of number of MTP2 MSU received by DBWriter.,Indicates status of number of MTP2 MSU received by DBWriter.,NONE,3d
Roamware-RDB-V2-MIB,ROAMWARE-RDB-V2-MIB,.1.3.6.1.4.1.11150.6.5.0.18,smTimeoutStatus,Information,,Indicates status of percentage number statemachines of MTP2 MSU received by DBWriter.,Indicates status of percentage number statemachines of MTP2 MSU received by DBWriter.,NONE,3d
Roamware-RDB-V2-MIB,ROAMWARE-RDB-V2-MIB,.1.3.6.1.4.1.11150.6.5.0.19,rdbTrapsResync,Information,,Indicates the start and end of a trap resync operation.,Indicates the start and end of a trap resync operation.,NONE,3d
Roamware-SDS2-V2-MIB,ROAMWARE-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.1,sdsSysUp,Clear,,Indicates that the sds instance is up and active.,Indicates that the sds instance is up and active.,NONE,3d
Roamware-SDS2-V2-MIB,ROAMWARE-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.2,sdsSysDown,Critical,,Indicates that the sds instance is shutting down.,Indicates that the sds instance is shutting down.,.1.3.6.1.4.1.11150.84.10.0.1,3d
Roamware-SDS2-V2-MIB,ROAMWARE-SDS2-V2-MIB,.1.3.6.1.4.1.11150.84.10.0.3,sdsTrapDBConnStatus,Information,,Indicates that connection to a database connection pool is up or down.,Indicates that connection to a database connection pool is up or down.,NONE,3d
